platform,external_id,subniche_id,search_keyword,rank_in_search,title,author_name,story_url,bsr_overall,rating_avg,review_count,review_velocity_30d,ku_enrolled,series_total_books,chapter_count,episodes_count,view_count,follower_count,status,tags,price_usd,scraped_at
royalroad,120928,1,xianxia,1,"Courting Death (Xianxia, Reincarnation)",Blue Moon 13,https://www.royalroad.com/fiction/120928,,4.76,1124,,,,24,,457922,5192,hiatus,"[""Portal Fantasy / Isekai"", ""Progression"", ""Wuxia"", ""Male Lead"", ""Strong Lead"", ""Action"", ""Adventure"", ""Fantasy""]",,2026-06-23T02:50:03.214434+00:00
royalroad,136863,1,xianxia,2,"BOC AU: Elder, But Younger Sister",Casualfarmer,https://www.royalroad.com/fiction/136863,,4.82,364,,,,11,,183018,3300,,"[""Reincarnation"", ""Cultivation"", ""Comedy"", ""Multiple Lead Characters"", ""Adventure"", ""Fantasy"", ""Male Lead"", ""Martial Arts""]",,2026-06-23T02:50:03.722089+00:00
royalroad,41330,1,xianxia,3,Virtuous Sons: A Greco Roman Xianxia,Ya Boy,https://www.royalroad.com/fiction/41330,,4.72,1888,,,,194,,4513028,6820,,"[""Progression"", ""War and Military"", ""Wuxia"", ""Comedy"", ""Multiple Lead Characters"", ""Adventure"", ""Fantasy"", ""Tragedy""]",,2026-06-23T02:50:04.186902+00:00
royalroad,150878,1,xianxia,4,The Toll-Road to Immortality (Xianxia),ThatGit,https://www.royalroad.com/fiction/150878,,4.74,852,,,,37,,475240,4775,ongoing,"[""LitRPG"", ""Progression"", ""Wuxia"", ""Male Lead"", ""Strong Lead"", ""Action"", ""Adventure"", ""Fantasy""]",,2026-06-23T02:50:04.526839+00:00
royalroad,103388,1,xianxia,5,RE: Deity - The Breath of Creation - [Stubbed],Infamous Goose,https://www.royalroad.com/fiction/103388,,4.73,799,,,,128,,1134755,4430,stubbed,"[""LitRPG"", ""Portal Fantasy / Isekai"", ""Progression"", ""Kingdom Building"", ""Wuxia"", ""Action"", ""Adventure"", ""Comedy""]",,2026-06-23T02:50:04.841585+00:00
royalroad,65919,1,xianxia,6,A Sect Elder's Journey - Xianxia Isekai,Fizzicks,https://www.royalroad.com/fiction/65919,,4.7,983,,,,18,,563001,4534,,"[""Portal Fantasy / Isekai"", ""Kingdom Building"", ""Cultivation"", ""Male Lead"", ""Drama"", ""Action"", ""Adventure"", ""Fantasy""]",,2026-06-23T02:50:05.188619+00:00
royalroad,36597,1,xianxia,7,When Immortal Ascension Fails Time Travel to Try Again,DragonOfRochester,https://www.royalroad.com/fiction/36597,,4.66,2450,,,,267,,9567182,10947,ongoing,"[""Portal Fantasy / Isekai"", ""Progression"", ""Cultivation"", ""Comedy"", ""Female Lead"", ""Fantasy"", ""Satire"", ""Reincarnation""]",,2026-06-23T02:50:05.611487+00:00
royalroad,151109,1,xianxia,8,"A Matter of Time (Xianxia, Timeloop)",Blue Moon 13,https://www.royalroad.com/fiction/151109,,4.73,501,,,,19,,157797,2841,hiatus,"[""Time Loop"", ""Progression"", ""Wuxia"", ""Female Lead"", ""Action"", ""Adventure"", ""Fantasy"", ""Cultivation""]",,2026-06-23T02:50:05.933413+00:00
royalroad,28601,1,xianxia,9,Arrogant Young Master Template A Variation 4,LivingSpoon,https://www.royalroad.com/fiction/28601,,4.63,4152,,,,161,,10630003,11627,hiatus,"[""LitRPG"", ""Kingdom Building"", ""Cultivation"", ""Comedy"", ""Male Lead"", ""Adventure"", ""Fantasy"", ""Martial Arts""]",,2026-06-23T02:50:06.222318+00:00
royalroad,151624,1,xianxia,10,Dropship Cultivation - Dao of Delivery [A Cozy Mongolian Slice of Life Xianxia],Jollyjupiter,https://www.royalroad.com/fiction/151624,,4.8,198,,,,68,,176297,1260,ongoing,"[""Portal Fantasy / Isekai"", ""Progression"", ""Wuxia"", ""Comedy"", ""Male Lead"", ""Action"", ""Adventure"", ""Fantasy""]",,2026-06-23T02:50:06.512241+00:00
